48	1950	UK
158	1950	Germany		
163	1950	Germany		
167	1950	Germany		
190	1950	EEUU		
210	1950	EEUU		
239	1950	Mexico		
384	1950	Japan		
481	1950	Spain		
7	1951	UK		
301	1951	Mexico		
368	1951	Japan		
391	1951	Japan		
422	1951	Japan		
454	1951	China		
458	1951	Spain		
119	1952	Germany		
259	1952	Mexico		
276	1952	Mexico		
433	1952	Japan		
479	1952	Spain		
88	1953	UK		
209	1953	EEUU		
307	1953	Mexico		
416	1953	Japan		
66	1954	UK		
71	1954	UK		
290	1954	Mexico		
321	1954	France		
324	1954	France		
369	1954	Japan		
463	1954	Spain		
490	1954	Italy		
36	1955	UK		
75	1955	UK		
77	1955	UK		
91	1955	UK		
98	1955	Germany		
166	1955	Germany		
294	1955	Mexico		
361	1955	Japan		
446	1955	China		
67	1956	UK		
128	1956	Germany		
265	1956	Mexico		
489	1956	Spain		
62	1957	UK		
139	1957	Germany		
200	1957	EEUU		
332	1957	France		
357	1957	Japan		
364	1957	Japan		
376	1957	Japan		
484	1957	Spain		
58	1958	UK		
152	1958	Germany		
298	1958	Mexico		
318	1958	Mexico		
330	1958	France		
386	1958	Japan		
435	1958	Japan		
462	1958	Spain		
473	1958	Spain		
262	1959	Mexico		
281	1959	Mexico		
315	1959	Mexico		
334	1959	France		
420	1959	Japan		
483	1959	Spain		
63	1960	UK		
102	1960	Germany		
107	1960	Germany		
108	1960	Germany		
149	1960	Germany		
211	1960	EEUU		
234	1960	Mexico		
340	1960	France		
447	1960	China		
451	1960	China		
500	1960	Italy		
61	1961	UK		
110	1961	Germany		
175	1961	Germany		
264	1961	Mexico		
300	1961	Mexico		
350	1961	France		
441	1961	China		
31	1962	UK		
103	1962	Germany		
106	1962	Germany		
112	1962	Germany		
146	1962	Germany		
243	1962	Mexico		
248	1962	Mexico		
253	1962	Mexico		
255	1962	Mexico		
257	1962	Mexico		
278	1962	Mexico		
403	1962	Japan		
425	1962	Japan		
475	1962	Spain		
170	1963	Germany		
180	1963	EEUU		
242	1963	Mexico		
382	1963	Japan		
32	1964	UK		
115	1964	Germany		
197	1964	EEUU		
358	1964	Japan		
494	1964	Italy		
19	1965	UK		
29	1965	UK		
50	1965	UK		
76	1965	UK		
87	1965	UK		
195	1965	EEUU		
293	1965	Mexico		
413	1965	Japan		
426	1965	Japan		
81	1966	UK		
83	1966	UK		
286	1966	Mexico		
417	1966	Japan		
436	1966	Japan		
469	1966	Spain		
21	1967	UK		
73	1967	UK		
99	1967	Germany		
143	1967	Germany		
150	1967	Germany		
263	1967	Mexico		
308	1967	Mexico		
320	1967	Mexico		
393	1967	Japan		
401	1967	Japan		
450	1967	China		
11	1968	UK		
23	1968	UK		
25	1968	UK		
105	1968	Germany		
130	1968	Germany		
213	1968	EEUU		
497	1968	Italy		
28	1969	UK		
323	1969	France		
329	1969	France		
219	1970	EEUU		
227	1970	EEUU		
271	1970	Mexico		
410	1970	Japan		
5	1971	UK		
38	1971	UK		
52	1971	UK		
64	1971	UK		
109	1971	Germany		
118	1971	Germany		
121	1971	Germany		
409	1971	Japan		
480	1971	Spain		
37	1972	UK		
86	1972	UK		
96	1972	Germany		
177	1972	Germany		
404	1972	Japan		
414	1972	Japan		
43	1973	UK		
165	1973	Germany		
199	1973	EEUU		
244	1973	Mexico		
247	1973	Mexico		
273	1973	Mexico		
344	1973	France		
349	1973	France		
457	1973	Spain		
142	1974	Germany		
192	1974	EEUU		
287	1974	Mexico		
341	1974	France		
430	1974	Japan		
275	1975	Mexico		
343	1975	France		
487	1975	Spain		
24	1976	UK		
125	1976	Germany		
184	1976	EEUU		
208	1976	EEUU		
216	1976	EEUU		
20	1977	UK		
45	1977	UK		
135	1977	Germany		
206	1977	EEUU		
230	1977	EEUU		
292	1977	Mexico		
365	1977	Japan		
406	1977	Japan		
439	1977	China		
156	1978	Germany		
215	1978	EEUU		
256	1978	Mexico		
18	1979	UK		
189	1979	EEUU		
258	1979	Mexico		
445	1979	China		
496	1979	Italy		
161	1980	Germany		
193	1980	EEUU		
339	1980	France		
346	1980	France		
380	1980	Japan		
432	1980	Japan		
448	1980	China		
456	1980	Spain		
51	1981	UK		
124	1981	Germany		
164	1981	Germany		
181	1981	EEUU		
187	1981	EEUU		
194	1981	EEUU		
241	1981	Mexico		
305	1981	Mexico		
316	1981	Mexico		
352	1981	Japan		
371	1981	Japan		
390	1981	Japan		
39	1982	UK		
140	1982	Germany		
185	1982	EEUU		
373	1982	Japan		
