3	20	8
3	15	6
3	10	9
3	19	10
3	22	9
3	34	6
3	40	7
3	18	7
3	52	7
3	8	10
3	1	7
3	1	7
3	12	7
3	11	8
3	1	6
3	13	8
3	15	7
3	53	10
3	16	7
3	18	8
3	76	6
3	14	8
4	20	8
4	15	6
4	10	9
4	19	10
4	22	9
4	34	6
4	40	7
4	18	7
4	52	7
4	8	10
4	1	7
4	1	7
4	12	7
4	11	8
4	1	6
4	13	8
4	15	7
4	53	10
4	16	7
4	18	8
4	76	6
4	14	8
5	20	8
5	15	6
5	10	9
5	19	10
5	22	9
5	34	6
5	40	7
5	18	7
5	52	7
5	8	10
5	1	7
5	1	7
5	12	7
5	11	8
5	1	6
5	13	8
5	15	7
5	53	10
5	16	7
5	18	8
5	76	6
5	14	8
5	20	8
5	15	6
5	10	9
5	19	10
5	22	9
5	5	6
5	50	7
5	18	7
5	52	7
5	8	10
5	1	7
5	1	7
5	12	7
5	11	8
5	1	6
5	13	8
5	15	7
5	53	10
5	16	7
5	18	8
5	76	6
5	14	8
6	20	8
6	15	6
6	10	9
6	19	10
6	22	9
6	36	6
6	60	7
6	18	7
6	52	7
6	8	10
6	1	7
6	1	7
6	12	7
6	11	8
6	1	6
6	13	8
6	15	7
6	53	10
6	16	7
6	18	8
6	76	6
6	14	8
